swmatrix_pin,name,v1_pin,v3_pin,Waferspace_COB_Pin,V1_Chip_PCB_Net_Name,Ideal Name (not used)
0,CLK,3,24,27,CLK,CLK
0,DATA,4,25,28,DATA,DATA
0,EN,2,26,31,ENABLE,EN
0,BUS1,0,61,68,,BUS1
0,BUS2,0,60,67,,BUS2
0,BUS3,0,59,66,,BUS3
0,BUS4,0,58,65,,BUS4
0,BUS5,0,57,64,,BUS5
0,BUS6,0,56,N/A,,N/A
1,VDD,1,VDD,"29,30",VDD,VDD
2,VSS,18,VSS,"1,20,38,57",VSS,GND
3,NMOS_CM_ARRAY_IOUT_16X,24,62,69,ISINK_16,ISINK_16
4,NMOS_CM_ARRAY_IOUT_8X,23,63,70,ISINK_8,ISINK_8
5,NMOS_CM_ARRAY_IOUT_4X,22,64,71,ISINK_4,ISINK_4
6,NMOS_CM_ARRAY_IOUT_2X,21,65,72,ISINK_2,ISINK_2
7,NMOS_CM_ARRAY_IOUT_1X,20,66,73,ISINK_1,ISINK_1
8,NMOS_CM_ARRAY_IREF,19,67,74,ISINK_REF,ISINK_REF
9,NMOS_OTA_INP,32,0,2,OTA_N_INP,OTA_N_INP
10,NMOS_OTA_INN,33,1,3,OTA_N_INN,OTA_N_INN
11,NMOS_OTA_OUT,34,2,4,OTA_N_OUT,OTA_N_OUT
12,NMOS_CM_IREF,26,3,5,ISINK_REF2,ISINK_REF2
13,NMOS_CM_IOUT,27,4,6,ISINK_REF2_CPY,ISINK_REF2_CPY
14,NMOS_DP_1X_A_D,35,5,7,NPAIR_A_DRAIN,NPAIR_A_DRAIN
15,NMOS_DP_1X_A_G,36,6,8,NPAIR_A_GATE,NPAIR_A_GATE
16,NMOS_DP_1X_A_S,37,7,9,NPAIR_A_SOURCE,NPAIR_A_SOURCE
17,NMOS_DP_1X_B_S,38,8,10,NPAIR_B_SOURCE,NPAIR_B_SOURCE
18,NMOS_DP_1X_B_G,39,9,11,NPAIR_B_GATE,NPAIR_B_GATE
19,NMOS_DP_1X_B_D,40,10,12,NPAIR_B_DRAIN,NPAIR_B_DRAIN
20,NMOS_DP_4X_A_D,41,11,13,NPAIR_4A_DRAIN,NPAIR_4A_DRAIN
21,NMOS_DP_4X_A_G,42,12,14,NPAIR_4A_GATE,NPAIR_4A_GATE
22,NMOS_DP_4X_A_S,43,13,15,NPAIR_4A_SOURCE,NPAIR_4A_SOURCE
23,NMOS_DP_4X_B_S,44,14,16,NPAIR_4B_SOURCE,NPAIR_4B_SOURCE
24,NMOS_DP_4X_B_G,45,15,17,NPAIR_4B_GATE,NPAIR_4B_GATE
25,NMOS_DP_4X_B_D,46,16,18,NPAIR_4B_DRAIN,NPAIR_4B_DRAIN
